id,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
2,8,5,9,0,6,8,3,0.19,4,1,0.33,25,1,0,16,0,1,0.33,26.51,16.5,7218.24,0.15,91,0.06,401.01,437.47,0.33,2,4,24,0.09,33,58,14,14,34,27.27,16,N
3,3,1,4,0,3,0,1,0.17,0,1,1,5,1,0,6,0,1,1,16.4,7.07,820.29,0.04,29,0.14,45.57,116,1,0,0,6,0.07,11,18,7,9,15,33.33,6,N
4,0,1,1,0,0,0,1,0.33,0,1,1,2,1,0,3,0,1,1,11.65,4,186.42,0.02,13,0.25,10.36,46.6,1,0,0,3,0.14,4,9,4,8,7,0,3,N
5,3,25,0,18,9,40,13,0.19,16,1,0.08,43,9,0.67,50,0,12,0.92,22.12,57,71859.2,0.42,242,0.02,3992.18,1260.69,0.69,12,20,32,0.15,108,134,18,19,86,35.06,68,N
6,2,25,0,16,8,40,13,0.19,16,1,0.08,43,9,0.67,52,0,12,0.92,22.12,57,71859.2,0.42,242,0.02,3992.18,1260.69,0.69,12,20,32,0.15,108,134,18,19,84,31.58,68,N
7,2,21,0,5,0,32,11,0.33,12,1,0.09,33,7,0.6,28,0,11,1,9.09,37.4,12716,0.11,85,0.03,706.44,340,0.64,10,16,24,0.28,34,51,5,11,39,15.15,33,N
8,2,21,0,5,0,32,11,0.33,12,1,0.09,33,7,0.6,28,0,11,1,9.09,37.4,12716,0.11,85,0.03,706.44,340,0.64,10,16,24,0.28,34,51,5,11,39,15.15,33,N
9,2,21,0,5,0,32,11,0.33,12,1,0.09,33,7,0.6,28,0,11,1,9.09,37.4,12716,0.11,85,0.03,706.44,340,0.64,10,16,24,0.28,34,51,5,11,39,15.15,33,N
10,0,9,1,3,0,12,5,0.71,2,5,1,15,4,0.75,4,2,5,1,6.95,27.62,5307.06,0.06,47,0.04,294.84,192.11,0.8,5,8,12,0.5,17,30,4,13,10,42.86,7,N
11,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,13.18,5.25,363.24,0.02,20,0.19,20.18,69.19,1,0,0,2,0.25,6,14,4,7,4,0,2,N
12,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
13,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
14,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
15,0,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,11.3,6.13,423.78,0.02,20,0.16,23.54,69.19,1,0,0,3,0.25,7,13,4,7,4,0,2,N
16,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
17,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
18,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
19,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
20,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
